# Current standings: active roster only, from the same fit as ratings.tsv.
# Compare Elo only WITHIN one head and WITHIN this file (never across fits).
# Retired ('gone') agents are excluded by design; see ratings.tsv for the full history.
# eff_evaluator elides the turn weight t when the search cannot act on it (no qs/part):
#   t shifts every leaf by one constant at fixed depth, so it reorders nothing there.
#   Compare cores on eff_evaluator; 'evaluator' and 'id' keep the exact canonical form.
head	elo	pm	games	cpu_ms_move	active	eff_evaluator	evaluator	id
ab(deep=12,tt,ord,time=150ms)@3	1284	11	3664	58.604	on	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	ab(deep=12,tt,ord,time=150ms)@3.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
ab(deep=12,tt,ord,time=150ms)@3	1082	8	3664	68.830	on	classic(chip=100)@2	classic(chip=100)@2	ab(deep=12,tt,ord,time=150ms)@3.classic(chip=100)@2
ab(deep=6,tt,ord,nodes=200k)@3	1227	0	6044	25.190	on	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@3	1208	0	6044	25.955	on	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@3	1180	0	6042	26.169	on	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@3	1141	0	6044	27.314	on	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@3	1139	0	6044	10.925	on	classic(chip=100)@2.opener(book,book=2)@1	classic(chip=100)@2.opener(book,book=2)@1	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=2)@1
ab(deep=6,tt,ord,nodes=200k)@3	1139	0	6044	10.956	on	classic(chip=100)@2.opener(book,book=9)@1	classic(chip=100)@2.opener(book,book=9)@1	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=9)@1
ab(deep=6,tt,ord,nodes=200k)@3	1134	0	6044	11.277	on	classic(chip=100)@2.opener(book,book=7)@1	classic(chip=100)@2.opener(book,book=7)@1	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=7)@1
ab(deep=6,tt,ord,nodes=200k)@3	1130	0	6042	11.107	on	classic(chip=100)@2.opener(book,book=8)@1	classic(chip=100)@2.opener(book,book=8)@1	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=8)@1
